Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
ORD,"Chicago, IL: O'Hare International",2001/09,9,September,2001,275,997,1461,10,654,"American Airlines Inc.,Hawaiian Airlines Inc.,Southwest Airlines Co.,Sun Country Airlines",4,23,6837,50,24727,31637,16633,50526,36870,1141,151296,46126
BOS,"Boston, MA: Logan International",2006/04,4,April,2006,990,747,3620,16,747,"Delta Air Lines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,Spirit Airlines Inc.,American Airlines Inc.,United Air Lines Inc.,Sun Country Airlines",7,207,5971,14,11761,17953,24276,22602,79447,86,132946,6535
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/09,9,September,2007,1929,878,2435,1,749,"Alaska Airlines Inc.,United Air Lines Inc.,JetBlue Airways",3,68,8435,8,28101,36612,29851,74450,103383,176,221071,13211
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/05,5,May,2007,1793,328,1979,18,391,"Hawaiian Airlines Inc.,Spirit Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",4,281,2135,1,20736,23153,65303,27861,38192,1,134247,2890
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2007/12,12,December,2007,1151,2380,1218,6,64,"Alaska Airlines Inc.,Frontier Airlines Inc.,Allegiant Air,American Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines",6,209,9341,46,16698,26294,53555,31287,63870,871,152882,3299
JFK,"New York, NY: John F. Kennedy International",2004/02,2,February,2004,1497,514,1641,18,537,"American Airlines Inc.,Allegiant Air,JetBlue Airways,Hawaiian Airlines Inc.,Southwest Airlines Co.,Frontier Airlines Inc.,Alaska Airlines Inc.",7,51,8247,27,28626,36951,9516,30837,94340,1134,138722,2895
BOS,"Boston, MA: Logan International",2010/12,12,December,2010,1098,648,1012,20,229,"Southwest Airlines Co.,Allegiant Air,Hawaiian Airlines Inc.,Spirit Airlines Inc.,American Airlines Inc.,JetBlue Airways,United Air Lines Inc.",7,164,7655,11,18804,26634,10425,56890,13244,451,96613,15603
LAX,"Los Angeles, CA: Los Angeles International",2018/12,12,December,2018,670,1906,119,18,172,"Delta Air Lines Inc.,JetBlue Airways,Hawaiian Airlines Inc.,American Airlines Inc.",4,78,7666,36,17949,25729,44910,67362,25027,1023,155306,16984
ORD,"Chicago, IL: O'Hare International",2016/05,5,May,2016,982,161,3953,20,341,"Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.",3,280,3495,45,5410,9230,24763,13350,17352,1698,80150,22987
BOS,"Boston, MA: Logan International",2005/07,7,July,2005,1271,898,909,22,530,"Sun Country Airlines,Hawaiian Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways,Alaska Airlines Inc.,Southwest Airlines Co.",6,54,2779,11,16843,19687,68690,71279,27882,1951,190221,20419
LAX,"Los Angeles, CA: Los Angeles International",2000/01,1,January,2000,1671,296,1347,1,528,"JetBlue Airways,Sun Country Airlines,Delta Air Lines Inc.",3,266,8637,0,29653,38556,33097,69229,113449,321,248123,32027
ORD,"Chicago, IL: O'Hare International",2018/06,6,June,2018,785,513,1791,2,539,"JetBlue Airways,Allegiant Air,Delta Air Lines Inc.",3,31,4759,7,24544,29341,29477,31104,12065,244,81622,8732
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/10,10,October,2004,1724,521,109,2,19,"Delta Air Lines Inc.,Allegiant Air,American Airlines Inc.,JetBlue Airways,Southwest Airlines Co.",5,200,5837,15,17097,23149,11186,96108,89700,976,225729,27759
DEN,"Denver, CO: Denver International",2000/05,5,May,2000,1714,2182,3631,21,3,"Hawaiian Airlines Inc.,Delta Air Lines Inc.,Allegiant Air,Spirit Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Southwest Airlines Co.",7,67,5859,45,8110,14081,28758,16369,92739,1474,140120,780
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/03,3,March,2006,1956,420,3663,27,535,"Frontier Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,American Airlines Inc.,Delta Air Lines Inc.",5,262,504,26,9132,9924,17270,26246,34009,1552,99489,20412
LAX,"Los Angeles, CA: Los Angeles International",2023/08,8,August,2023,1505,1680,2186,6,710,"Alaska Airlines Inc.,American Airlines Inc.,Hawaiian Airlines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Allegiant Air,Frontier Airlines Inc.",7,198,8180,7,18993,27378,36010,53066,16750,532,122142,15784
BOS,"Boston, MA: Logan International",2006/09,9,September,2006,1019,2367,253,3,312,"Spirit Airlines Inc.,American Airlines Inc.,Delta Air Lines Inc.,JetBlue Airways",4,16,1922,46,16040,18024,20543,28645,50064,1931,120873,19690
SFO,"San Francisco, CA: San Francisco International",2007/03,3,March,2007,904,147,3472,0,63,"United Air Lines Inc.,Frontier Airlines Inc.,American Airlines Inc.,Hawaiian Airlines Inc.",4,169,2760,12,22713,25654,59749,62341,117693,328,286909,46798
SFO,"San Francisco, CA: San Francisco International",2014/11,11,November,2014,728,1672,2973,22,492,"American Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways",5,246,8315,48,8283,16892,78690,45182,72194,1940,244394,46388
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2005/12,12,December,2005,1416,653,56,11,193,"Spirit Airlines Inc.,Delta Air Lines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,Southwest Airlines Co.",5,226,7502,3,24631,32362,56896,74690,37371,507,180733,11269
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2022/06,6,June,2022,393,1077,3398,3,772,"Delta Air Lines Inc.,JetBlue Airways,Southwest Airlines Co.,Alaska Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.",6,113,4481,50,17121,21765,41989,23256,108022,241,195411,21903
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2014/06,6,June,2014,690,2040,525,14,208,"Delta Air Lines Inc.,Frontier Airlines Inc.,JetBlue Airways,Sun Country Airlines",4,213,5368,22,11750,17353,43880,3273,60264,56,126828,19355
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/11,11,November,2006,950,2219,1285,8,457,"United Air Lines Inc.,Sun Country Airlines,Spirit Airlines Inc.",3,17,1641,18,5654,7330,79632,16167,77127,125,181320,8269
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2011/05,5,May,2011,123,2029,3612,7,416,"United Air Lines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,American Airlines Inc.",4,250,9068,1,6725,16044,77908,17228,15878,1672,118470,5784
SEA,"Seattle, WA: Seattle-Tacoma International",2002/09,9,September,2002,1499,66,2934,27,494,"Delta Air Lines Inc.,Hawaiian Airlines Inc.",2,76,2056,26,15757,17915,47415,80727,73936,710,238465,35677
ORD,"Chicago, IL: O'Hare International",2023/01,1,January,2023,685,749,818,6,800,"Alaska Airlines Inc.,Sun Country Airlines,JetBlue Airways,Hawaiian Airlines Inc.,Spirit Airlines Inc.",5,108,6691,9,29905,36713,36912,37778,24535,775,147293,47293
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/04,4,April,2003,1221,1974,3432,29,799,"Alaska Airlines Inc.,Delta Air Lines Inc.",2,128,5978,32,5872,12010,74698,46188,106582,1302,242109,13339
LAX,"Los Angeles, CA: Los Angeles International",2015/07,7,July,2015,1686,1293,3981,29,99,"JetBlue Airways,American Airlines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.",6,43,655,18,13206,13922,25741,17960,54082,99,107561,9679
BOS,"Boston, MA: Logan International",2001/09,9,September,2001,1135,732,2725,20,701,"Hawaiian Airlines Inc.,Spirit Airlines Inc.,JetBlue Airways,Allegiant Air,Frontier Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.",7,42,3331,50,14975,18398,30618,63975,54112,1633,187842,37504
LAX,"Los Angeles, CA: Los Angeles International",2004/03,3,March,2004,1762,2280,3053,11,457,"Alaska Airlines Inc.,United Air Lines Inc.,JetBlue Airways,Southwest Airlines Co.,Delta Air Lines Inc.,Spirit Airlines Inc.,Frontier Airlines Inc.",7,258,5091,38,10441,15828,65075,79994,25988,184,200835,29594
SFO,"San Francisco, CA: San Francisco International",2008/10,10,October,2008,938,1269,969,12,187,"Hawaiian Airlines Inc.,American Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.",4,60,3157,1,25777,28995,50334,6748,56286,1672,152669,37629
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2017/12,12,December,2017,1006,1159,255,14,730,"JetBlue Airways,Southwest Airlines Co.,United Air Lines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines",7,250,2550,32,17741,20573,15521,83768,79032,1911,219561,39329
DEN,"Denver, CO: Denver International",2001/10,10,October,2001,579,893,1320,17,765,"Southwest Airlines Co.,United Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.",4,270,6512,38,21434,28254,16428,50301,81438,1863,167906,17876
DEN,"Denver, CO: Denver International",2008/01,1,January,2008,297,331,2227,21,346,"Hawaiian Airlines Inc.,Sun Country Airlines,Alaska Airlines Inc.",3,196,4999,32,19484,24711,16763,28796,55298,274,122239,21108
SEA,"Seattle, WA: Seattle-Tacoma International",2006/06,6,June,2006,535,610,3878,8,666,"Southwest Airlines Co.,Alaska Airlines Inc.,American Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,Delta Air Lines Inc.,Sun Country Airlines",7,40,9861,18,16181,26100,14615,85070,13869,1,146967,33412
DEN,"Denver, CO: Denver International",2004/06,6,June,2004,522,995,67,29,637,"Allegiant Air,United Air Lines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines",4,39,6035,23,14863,20960,28800,52339,88257,1504,189473,18573
SEA,"Seattle, WA: Seattle-Tacoma International",2005/12,12,December,2005,318,788,2693,11,637,"Southwest Airlines Co.,Delta Air Lines Inc.,Allegiant Air,Frontier Airlines Inc.,Sun Country Airlines,United Air Lines Inc.,JetBlue Airways",7,125,7811,48,15383,23367,27105,78015,93353,1900,227962,27589
JFK,"New York, NY: John F. Kennedy International",2017/04,4,April,2017,760,1186,2297,18,74,"Southwest Airlines Co.,Hawaiian Airlines Inc.,American Airlines Inc.,Sun Country Airlines,JetBlue Airways,United Air Lines Inc.",6,98,4193,41,20666,24998,8067,87408,13995,1854,129503,18179
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2001/02,2,February,2001,1785,843,2530,5,29,"Spirit Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,Southwest Airlines Co.,JetBlue Airways,Frontier Airlines Inc.,American Airlines Inc.",7,93,9783,40,19737,29653,27464,78409,58631,1902,213482,47076
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2009/05,5,May,2009,1791,1047,2529,12,108,"American Airlines Inc.,Frontier Airlines Inc.,Alaska Airlines Inc.,Spirit Airlines Inc.",4,87,4864,18,28027,32996,42460,6089,93427,979,167325,24370
DEN,"Denver, CO: Denver International",2005/03,3,March,2005,1238,1473,2837,6,169,"Sun Country Airlines,American Airlines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,United Air Lines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.",7,270,9254,18,15049,24591,61038,36610,2834,1347,121467,19638
DEN,"Denver, CO: Denver International",2005/01,1,January,2005,828,2382,152,12,162,"Sun Country Airlines,American Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Alaska Airlines Inc.",6,284,9313,45,6899,16541,11020,50324,4191,987,92643,26121
SFO,"San Francisco, CA: San Francisco International",2024/04,4,April,2024,960,1468,3409,16,4,"Frontier Airlines Inc.,United Air Lines Inc.,Allegiant Air",3,160,5701,30,13335,19226,12625,93050,108414,1297,249524,34138
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2002/01,1,January,2002,1818,1924,1372,20,265,"Delta Air Lines Inc.,Spirit Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",5,12,7213,50,21764,29039,1766,77989,89252,1422,193089,22660
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/04,4,April,2004,173,1808,431,16,703,"American Airlines Inc.,Alaska Airlines Inc.,United Air Lines Inc.,Allegiant Air,Hawaiian Airlines Inc.,Sun Country Airlines",6,156,1504,22,28583,30265,15655,86169,56610,1342,199042,39266
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2009/04,4,April,2009,841,2047,2032,9,787,"Hawaiian Airlines Inc.,JetBlue Airways",2,134,4445,23,12011,16613,54227,70647,6071,1377,173258,40936
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2014/05,5,May,2014,1843,375,1354,28,586,"Allegiant Air,Frontier Airlines Inc.,Alaska Airlines Inc.,Sun Country Airlines",4,296,9588,42,29361,39287,28841,93377,63645,1130,215763,28770
BOS,"Boston, MA: Logan International",2015/06,6,June,2015,1773,1567,2230,5,609,"Sun Country Airlines,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Allegiant Air,Alaska Airlines Inc.,Southwest Airlines Co.,American Airlines Inc.",7,89,7989,41,10213,18332,58276,97125,3758,888,168195,8148
SEA,"Seattle, WA: Seattle-Tacoma International",2013/01,1,January,2013,91,790,690,22,760,"JetBlue Airways,Sun Country Airlines",2,100,6157,18,11493,17768,28235,37390,4070,1875,91123,19553
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2009/08,8,August,2009,1365,289,730,8,608,"United Air Lines Inc.,JetBlue Airways,Alaska Airlines Inc.",3,79,7502,37,19067,26685,5162,57975,60219,1636,162181,37189
SEA,"Seattle, WA: Seattle-Tacoma International",2001/01,1,January,2001,208,641,2773,7,133,"United Air Lines Inc.,American Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Allegiant Air,Spirit Airlines Inc.",6,138,5755,33,22583,28509,30426,89069,47312,1429,186923,18687
ORD,"Chicago, IL: O'Hare International",2002/11,11,November,2002,62,2157,512,11,417,"United Air Lines Inc.,Alaska Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.,Allegiant Air,American Airlines Inc.,Spirit Airlines Inc.",7,74,1475,33,6490,8072,25293,19847,109729,657,195737,40211
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/09,9,September,2004,1624,1280,2869,19,749,"Frontier Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.,Hawaiian Airlines Inc.",4,257,7571,50,16098,23976,13140,93771,4114,1768,162779,49986
BOS,"Boston, MA: Logan International",2019/10,10,October,2019,877,947,3436,5,787,"Allegiant Air,Delta Air Lines Inc.,United Air Lines Inc.,Frontier Airlines Inc.,JetBlue Airways",5,115,5020,49,27189,32373,1974,94240,23966,1611,146254,24463
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2017/08,8,August,2017,1853,1769,2999,1,518,"Delta Air Lines Inc.,United Air Lines Inc.",2,211,3609,39,9594,13453,20972,5067,103998,1472,149024,17515
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/06,6,June,2004,652,1994,1053,20,252,"JetBlue Airways,Southwest Airlines Co.,United Air Lines Inc.,Delta Air Lines Inc.",4,206,8814,48,29861,38929,40589,43978,99291,684,225720,41178
ORD,"Chicago, IL: O'Hare International",2021/10,10,October,2021,1912,1681,3365,21,69,"Spirit Airlines Inc.,Sun Country Airlines,United Air Lines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.",5,49,4772,35,13771,18627,11433,64987,55046,403,150102,18233
LAX,"Los Angeles, CA: Los Angeles International",2009/05,5,May,2009,1786,1728,2880,12,705,"Hawaiian Airlines Inc.,Allegiant Air,Spirit Airlines Inc.,Delta Air Lines Inc.",4,156,9939,14,5874,15983,60840,78411,94952,1831,245810,9776
ORD,"Chicago, IL: O'Hare International",2019/02,2,February,2019,1762,1337,2737,23,198,"Allegiant Air,Hawaiian Airlines Inc.,Alaska Airlines Inc.,American Airlines Inc.",4,300,1392,7,9222,10921,70382,88988,89596,791,284921,35164
SEA,"Seattle, WA: Seattle-Tacoma International",2007/11,11,November,2007,158,1596,1773,14,29,"Sun Country Airlines,United Air Lines Inc.,JetBlue Airways,Frontier Airlines Inc.,Spirit Airlines Inc.,Allegiant Air",6,99,6108,30,8322,14559,48606,92739,30412,319,188062,15986
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2022/02,2,February,2022,1535,1385,95,11,20,"JetBlue Airways,United Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Airlines Inc.",5,84,550,1,26015,26650,53370,44437,24380,1420,127624,4017
SFO,"San Francisco, CA: San Francisco International",2008/09,9,September,2008,1082,1972,354,13,22,"Alaska Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,Hawaiian Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.",7,268,9007,33,22003,31311,30073,79758,25055,518,163311,27907
DEN,"Denver, CO: Denver International",2004/02,2,February,2004,229,791,124,15,556,"Southwest Airlines Co.,Alaska Airlines Inc.,Sun Country Airlines",3,224,2004,46,23324,25598,46150,94123,10983,811,178576,26509
JFK,"New York, NY: John F. Kennedy International",2018/12,12,December,2018,580,1968,2469,26,593,"Sun Country Airlines,Southwest Airlines Co.,Hawaiian Airlines Inc.",3,58,3262,31,16476,19827,66043,11991,7342,1140,115663,29147
JFK,"New York, NY: John F. Kennedy International",2018/06,6,June,2018,287,1571,3787,19,418,"Allegiant Air,Southwest Airlines Co.,JetBlue Airways,Sun Country Airlines,Frontier Airlines Inc.",5,211,9317,25,26900,36453,41777,57559,116556,1376,244255,26987
ORD,"Chicago, IL: O'Hare International",2003/01,1,January,2003,1096,1828,2863,6,181,"Allegiant Air,Southwest Airlines Co.,American Airlines Inc.,United Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.",6,261,5877,4,14178,20320,63849,44893,86169,836,212733,16986
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/07,7,July,2005,542,473,489,5,219,"Hawaiian Airlines Inc.,Sun Country Airlines,United Air Lines Inc.,Southwest Airlines Co.,Frontier Airlines Inc.,Alaska Airlines Inc.",6,64,4970,42,23915,28991,39477,62210,24952,1054,168921,41228
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2019/12,12,December,2019,697,291,2758,3,782,"American Airlines Inc.,Spirit Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,United Air Lines Inc.,JetBlue Airways,Alaska Airlines Inc.",7,218,3849,23,23473,27563,55525,85494,88374,98,274872,45381
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2007/07,7,July,2007,667,205,3303,16,520,"Southwest Airlines Co.,JetBlue Airways,American Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.,Delta Air Lines Inc.,Allegiant Air",7,279,4284,8,28136,32707,37337,99479,52071,996,207868,17985
SFO,"San Francisco, CA: San Francisco International",2011/12,12,December,2011,605,1808,3905,21,591,"American Airlines Inc.,United Air Lines Inc.,Delta Air Lines Inc.,JetBlue Airways,Southwest Airlines Co.",5,163,9202,36,14077,23478,60951,35721,32335,509,157102,27586
ORD,"Chicago, IL: O'Hare International",2021/10,10,October,2021,1121,1552,3940,22,259,"Spirit Airlines Inc.,Allegiant Air,American Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.",7,44,3202,29,25173,28448,74053,34222,39154,483,181163,33251
LAX,"Los Angeles, CA: Los Angeles International",2018/07,7,July,2018,66,2131,809,9,376,"United Air Lines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,JetBlue Airways",5,159,4920,28,28371,33478,73284,15962,81893,101,173087,1847
LAX,"Los Angeles, CA: Los Angeles International",2006/05,5,May,2006,1654,2115,829,15,708,"Delta Air Lines Inc.,Allegiant Air,Sun Country Airlines",3,294,4807,20,8912,14033,23413,63948,87591,1012,213797,37833
SEA,"Seattle, WA: Seattle-Tacoma International",2000/04,4,April,2000,206,1259,3639,3,278,"Southwest Airlines Co.,American Airlines Inc.,Alaska Airlines Inc.",3,160,4624,45,9824,14653,23638,14633,118967,674,193901,35989
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2012/10,10,October,2012,1099,1273,672,3,708,"American Airlines Inc.,Spirit Airlines Inc.,JetBlue Airways",3,133,6394,23,16366,22916,52413,22883,23801,1792,133688,32799
LAX,"Los Angeles, CA: Los Angeles International",2003/12,12,December,2003,1231,463,3822,21,492,"Hawaiian Airlines Inc.,JetBlue Airways,American Airlines Inc.",3,16,7778,43,6472,14309,31144,26582,18327,1469,94575,17053
ORD,"Chicago, IL: O'Hare International",2001/12,12,December,2001,986,1894,2200,23,310,"Alaska Airlines Inc.,Southwest Airlines Co.",2,140,8137,13,7282,15572,25597,89760,84352,1137,226016,25170
JFK,"New York, NY: John F. Kennedy International",2010/11,11,November,2010,704,1822,2258,16,62,"JetBlue Airways,Sun Country Airlines",2,63,1892,31,16936,18922,75230,41406,78580,238,231344,35890
DEN,"Denver, CO: Denver International",2015/03,3,March,2015,171,1789,3231,24,172,"American Airlines Inc.,Frontier Airlines Inc.,JetBlue Airways,Allegiant Air,Hawaiian Airlines Inc.,Delta Air Lines Inc.",6,70,3023,31,15631,18755,65109,4388,13103,640,125408,42168
ORD,"Chicago, IL: O'Hare International",2012/07,7,July,2012,1745,1295,1908,14,246,"Sun Country Airlines,American Airlines Inc.,Allegiant Air,Delta Air Lines Inc.,United Air Lines Inc.,Frontier Airlines Inc.",6,279,4938,36,11022,16275,31566,70638,56657,1045,186590,26684
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2024/08,8,August,2024,1734,2013,3071,26,472,"Hawaiian Airlines Inc.,Alaska Airlines Inc.,American Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.",6,230,7128,1,22454,29813,59025,20665,48164,486,175543,47203
DEN,"Denver, CO: Denver International",2018/03,3,March,2018,159,566,2706,13,624,"Delta Air Lines Inc.,American Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.",4,35,5181,15,14624,19855,14398,83044,83816,673,223551,41620
